,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
73,2016,NBA,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017.0,2018.0,154.0,21.2,8.5,4.8,0.9,0.8,0.9,0.43799999999999994,0.515,0.309,0.617,2.5,0.037000000000000005
74,2016,NBA,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017.0,2018.0,136.0,15.8,5.4,4.1,0.5,0.4,0.9,0.6409999999999999,0.642,0.5,0.5760000000000001,7.2,0.161
75,2016,NBA,1,10,MIL,Thon Maker,19.123,F-C,ss,,2017.0,2018.0,131.0,13.7,4.4,2.6,0.5,0.4,0.6,0.429,0.483,0.331,0.6829999999999999,2.8,0.07400000000000001
76,2016,NBA,1,11,ORL,Domantas Sabonis,20.055999999999997,F-C,us,Gonzaga University,2017.0,2018.0,155.0,22.2,8.6,5.5,1.5,0.5,0.4,0.466,0.495,0.327,0.7290000000000001,5.5,0.077
77,2016,NBA,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017.0,2018.0,141.0,24.4,10.6,3.9,1.9,0.9,0.5,0.42,0.456,0.374,0.825,3.1,0.043
78,2016,NBA,1,13,PHO,Georgios Papagiannis,18.36,C,gr,,2017.0,2018.0,39.0,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0.0,0.857,0.4,0.044000000000000004
79,2016,NBA,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017.0,2018.0,134.0,22.9,8.0,4.1,2.3,0.7,0.1,0.39899999999999997,0.434,0.374,0.754,3.1,0.048
80,2016,NBA,1,15,DEN,Juan Hernangomez,20.274,F,es,,2017.0,2018.0,87.0,12.9,4.4,2.8,0.5,0.4,0.2,0.435,0.515,0.368,0.7609999999999999,2.2,0.09300000000000001
81,2016,NBA,1,16,BOS,Guerschon Yabusele,20.194000000000003,F,fr,,2018.0,2018.0,33.0,7.1,2.4,1.6,0.5,0.1,0.2,0.426,0.583,0.324,0.682,0.6,0.122
82,2016,NBA,1,17,MEM,Wade Baldwin,20.090999999999998,G,us,Vanderbilt University,2017.0,2018.0,40.0,12.1,3.6,1.4,1.7,0.5,0.2,0.368,0.39399999999999996,0.259,0.787,0.0,-0.004
83,2016,NBA,1,18,DET,Henry Ellenson,19.166,F,us,Marquette University,2017.0,2018.0,57.0,8.3,3.7,2.1,0.5,0.1,0.0,0.36200000000000004,0.4,0.316,0.784,-0.1,-0.008
84,2016,NBA,1,19,DEN,Malik Beasley,19.214000000000002,G,us,Florida State University,2017.0,2018.0,84.0,8.9,3.3,1.0,0.5,0.3,0.1,0.42200000000000004,0.489,0.336,0.698,0.5,0.034
85,2016,NBA,1,20,IND,Caris LeVert,21.308000000000003,G-F,us,University of Michigan,2017.0,2018.0,128.0,24.2,10.4,3.5,3.2,1.0,0.2,0.44,0.506,0.336,0.7140000000000001,4.1,0.063
88,2016,NBA,1,21,ATL,DeAndre Bembry,21.36,F,us,Saint Joseph's University,2017.0,2018.0,64.0,12.9,3.7,2.0,1.2,0.5,0.3,0.442,0.494,0.25,0.51,-0.1,-0.005
89,2016,NBA,1,22,CHO,Malachi Richardson,20.175,G,us,Syracuse University,2017.0,2018.0,48.0,10.9,3.5,1.2,0.5,0.3,0.0,0.36700000000000005,0.42200000000000004,0.294,0.78,0.0,0.001
90,2016,NBA,1,23,BOS,Ante Zizic,19.175,F-C,hr,,2018.0,2018.0,32.0,6.7,3.7,1.9,0.2,0.1,0.4,0.731,0.731,,0.7240000000000001,1.0,0.231
91,2016,NBA,1,24,PHI,Timothe Luwawu,21.051,F,fr,,2017.0,2018.0,121.0,16.5,6.1,1.8,1.1,0.4,0.1,0.39,0.46,0.32299999999999995,0.8340000000000001,1.6,0.039
92,2016,NBA,1,25,LAC,Brice Johnson,22.002,F,us,University of North Carolina,2017.0,2018.0,21.0,5.1,2.2,1.6,0.1,0.5,0.3,0.449,0.45799999999999996,0.0,0.6,0.1,0.062
93,2016,NBA,1,26,PHI,Furkan Korkmaz,18.339000000000002,G,tr,,2018.0,2018.0,14.0,5.7,1.6,0.8,0.3,0.1,0.1,0.28600000000000003,0.273,0.294,0.5,0.0,-0.006
94,2016,NBA,1,27,TOR,Pascal Siakam,22.145,F,cm,New Mexico State University,2017.0,2018.0,136.0,18.7,6.0,4.0,1.3,0.6,0.6,0.506,0.578,0.21600000000000003,0.639,6.2,0.11800000000000001
95,2016,NBA,1,28,PHO,Skal Labissiere,20.102,F,ht,University of Kentucky,2017.0,2018.0,93.0,19.9,8.7,4.8,1.1,0.4,0.7,0.47600000000000003,0.488,0.35600000000000004,0.7659999999999999,2.6,0.069
